,Long_X,Lat_Y,Campostoma_spp,Cyprinella_lutrensis,Cyprinella_venusta,Etheostoma_gracile,Etheostoma_radiosum,Fundulus_spp,Gambusia_affinis,Labidesthes_sicculus,Lepomis_cyanellus,Lepomis_humilis,Lepomis_macrochirus,Lepomis_megalotis,Lepomis_microlophus,Lythrurus_umbratilis,Micropterus_punctulatus,Micropterus_salmoides,Notropis_boops,Notemigonus_crysoleucas,Noturus_nocturnus,Percina_sciera,Phenacobius_mirabilis,Pimephales_notatus,Pimephales_vigilax,Pomoxis_annularis,ORD_STRA,dis_m3_pyr,run_mm_cyr,inu_pc_clt,ria_ha_csu,ria_ha_usu,riv_tc_csu,riv_tc_usu,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,pre_mm_cyr,glc_pc_c02,glc_pc_c04,glc_pc_c13,for_pc_cse,cly_pc_cav,slt_pc_cav,snd_pc_cav,soc_th_cav,kar_pc_cse
2014ZZ1,-96.49615,34.39019,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,0.573,233,0,2.059,5.872,4.914,10.01,150,240,16,34,1017,8,0,22,8,22,40,37,14,85
2014ZZ2,-96.49612,34.40007,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,235,0,0.79,0.79,0.771,0.771,181,245,19,28,1019,13,0,39,13,24,43,33,14,100
2014ZZ3,-96.42439,34.38255,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.343,256,0,1.067,2.779,1.629,3.481,92,202,12,31,1030,0,0,100,0,25,48,27,14,100
2014ZZ4,-96.42405,34.46196,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0.219,247,0,1.742,1.742,2.131,2.131,122,226,14,42,1021,0,9,53,9,27,49,25,15,100
2014ZZ5,-96.33257,34.53458,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0.264,270,0,1.955,1.955,2.556,2.556,110,213,15,21,1037,0,3,85,3,26,49,25,14,0
2014ZZ6,-96.30304,34.27543,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0.622,270,0,3.42,5.547,7.263,9.693,91,192,13,28,1050,68,0,20,68,24,33,43,15,100
2014ZZ7,-96.63303,34.57872,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.206,214,0,1.86,1.86,2.276,2.276,153,288,21,73,1004,20,3,71,23,28,48,25,17,100
2014ZZ8,-96.56747,34.60172,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0.38,224,0,0.606,3.694,1.445,5.07,59,229,11,28,1000,0,0,100,0,25,48,26,14,100
2014ZZ9,-96.57217,34.6157,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,3,1.691,222,0,0.874,20.489,3.814,40.797,44,221,11,17,997,0,0,95,0,25,48,27,14,90
2014ZZ10,-96.63367,34.60974,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.245,210,0,2.362,2.362,3.19,3.19,110,287,18,96,1000,4,7,89,11,27,48,25,17,100
2014ZZ11,-96.07372,34.44079,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,3,4.431,292,2,9.675,54.101,52.877,179.608,164,199,27,18,1072,12,25,38,36,25,48,28,19,0
2014ZZ12,-95.98186,34.48375,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,0.884,295,0,3.267,8.13,9.014,16.088,178,211,42,23,1090,81,6,13,87,25,49,26,16,23
2014ZZ13,-96.15456,34.73555,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,3,2.148,288,0,3.012,20.975,13.095,47.889,104,216,19,13,1062,26,0,19,26,22,39,40,17,0
2014ZZ14,-96.19473,34.77724,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0.287,282,0,2.149,2.149,2.958,2.958,146,243,15,32,1057,6,11,73,17,21,37,42,16,0
2014ZZ15,-96.00595,34.35246,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,4,20.356,292,3,10.517,288.299,113.696,1351.15,188,202,29,9,1095,55,34,11,89,24,47,28,17,0
2014ZZ16,-96.44138,34.79137,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0.534,237,0,5.36,5.36,9.413,9.413,123,256,17,18,1011,3,29,33,32,22,38,40,16,0
2014ZZ17,-96.42163,34.8073,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,2,1.456,251,0,0.76,15.611,3.083,30.597,86,232,18,0,1017,15,40,0,55,21,37,42,16,0
2014ZZ18,-96.44853,34.69476,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.339,241,0,2.793,2.793,3.88,3.88,117,243,17,32,1014,0,12,62,12,25,47,28,15,0
2014ZZ19,-96.63496,34.70198,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0.308,206,0,2.964,2.964,3.981,3.981,166,287,19,41,996,0,13,28,13,23,43,33,15,35
2014ZZ20,-96.37196,34.47657,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.167,258,0,1.259,1.259,1.517,1.517,62,199,9,36,1025,0,0,23,0,26,49,26,12,100
2014ZZ21,-96.44225,34.4262,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0.27,242,0,2.724,2.724,4.374,4.374,208,246,16,52,1024,13,0,54,13,28,48,23,17,100
2014ZZ22,-96.41936,34.32896,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0.461,253,0,4.095,4.095,6.24,6.24,109,222,10,44,1036,23,17,41,40,23,44,33,14,87
2014ZZ23,-96.44302,34.5455,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0.603,243,0,2.833,6.116,6.552,10.487,109,219,15,22,1013,2,10,10,12,26,49,25,15,59
2014ZZ24,-96.49464,34.57137,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0.348,228,0,3.579,3.579,5.783,5.783,137,262,18,62,1011,4,26,51,30,27,48,24,16,77
2014ZZ25,-96.54231,34.69466,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,2,0.321,227,0,0.765,2.904,1.704,4.119,30,230,9,23,1001,0,0,100,0,24,48,29,12,0
2014ZZ26,-96.35905,34.81064,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,2,0.746,264,0,4.37,7.302,10.505,14.146,114,237,20,20,1030,18,64,11,82,22,38,40,18,0
2014ZZ27,-96.19662,34.81658,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0.405,282,0,3.048,3.048,4.397,4.397,180,258,21,39,1060,5,12,73,18,22,38,41,17,0
2014ZZ28,-96.26391,34.74194,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,3,3.565,277,0,1.231,42.509,7.261,116.622,129,227,53,6,1043,0,12,71,12,20,38,43,16,0
2014ZZ29,-96.20872,34.62922,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,4,7.679,285,0,8.816,98.028,63.94,338.72,58,200,11,7,1052,0,0,25,0,25,48,26,13,0
2014ZZ30,-96.39483,34.61094,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,2,1.417,255,0,2.044,13.8,7.297,27.81,96,212,12,13,1021,0,0,21,0,26,49,26,14,0
2014ZZ31,-96.35316,34.50544,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,3,7.334,265,0,6.843,96.862,49.151,300.626,68,195,14,10,1030,0,0,46,0,25,48,26,13,95
2014ZZ32,-96.31983,34.37022,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,4,10.782,270,0,5.877,147.515,45.055,521.461,49,180,7,5,1039,32,18,31,50,25,48,27,14,100
2014ZZ33,-95.88593,34.10006,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,4,21.41,299,19,16.631,324.471,170.329,1663.609,107,157,11,9,1107,61,1,13,62,27,45,27,18,5
1974JP1,-96.49615,34.39019,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,2,0.573,233,0,2.059,5.872,4.914,10.01,150,240,16,34,1017,8,0,22,8,22,40,37,14,85
1974JP2,-96.49612,34.40007,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0.1,235,0,0.79,0.79,0.771,0.771,181,245,19,28,1019,13,0,39,13,24,43,33,14,100
1974JP3,-96.42439,34.38255,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,2,0.343,256,0,1.067,2.779,1.629,3.481,92,202,12,31,1030,0,0,100,0,25,48,27,14,100
1974JP4,-96.42405,34.46196,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.219,247,0,1.742,1.742,2.131,2.131,122,226,14,42,1021,0,9,53,9,27,49,25,15,100
1974JP5,-96.33257,34.53458,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0.264,270,0,1.955,1.955,2.556,2.556,110,213,15,21,1037,0,3,85,3,26,49,25,14,0
1974JP6,-96.30304,34.27543,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0.622,270,0,3.42,5.547,7.263,9.693,91,192,13,28,1050,68,0,20,68,24,33,43,15,100
1974JP7,-96.63303,34.57872,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.206,214,0,1.86,1.86,2.276,2.276,153,288,21,73,1004,20,3,71,23,28,48,25,17,100
1974JP8,-96.56747,34.60172,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0.38,224,0,0.606,3.694,1.445,5.07,59,229,11,28,1000,0,0,100,0,25,48,26,14,100
1974JP9,-96.57217,34.6157,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,1.691,222,0,0.874,20.489,3.814,40.797,44,221,11,17,997,0,0,95,0,25,48,27,14,90
1974JP10,-96.63367,34.60974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.245,210,0,2.362,2.362,3.19,3.19,110,287,18,96,1000,4,7,89,11,27,48,25,17,100
1974JP11,-96.07372,34.44079,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3,4.431,292,2,9.675,54.101,52.877,179.608,164,199,27,18,1072,12,25,38,36,25,48,28,19,0
1974JP12,-95.98186,34.48375,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0.884,295,0,3.267,8.13,9.014,16.088,178,211,42,23,1090,81,6,13,87,25,49,26,16,23
1974JP13,-96.15456,34.73555,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,3,2.148,288,0,3.012,20.975,13.095,47.889,104,216,19,13,1062,26,0,19,26,22,39,40,17,0
1974JP14,-96.19473,34.77724,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0.287,282,0,2.149,2.149,2.958,2.958,146,243,15,32,1057,6,11,73,17,21,37,42,16,0
1974JP15,-96.00595,34.35246,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,20.356,292,3,10.517,288.299,113.696,1351.15,188,202,29,9,1095,55,34,11,89,24,47,28,17,0
1974JP16,-96.44138,34.79137,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0.534,237,0,5.36,5.36,9.413,9.413,123,256,17,18,1011,3,29,33,32,22,38,40,16,0
1974JP17,-96.42163,34.8073,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,2,1.456,251,0,0.76,15.611,3.083,30.597,86,232,18,0,1017,15,40,0,55,21,37,42,16,0
1974JP18,-96.44853,34.69476,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0.339,241,0,2.793,2.793,3.88,3.88,117,243,17,32,1014,0,12,62,12,25,47,28,15,0
1974JP19,-96.63496,34.70198,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.308,206,0,2.964,2.964,3.981,3.981,166,287,19,41,996,0,13,28,13,23,43,33,15,35
1974JP20,-96.37196,34.47657,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0.167,258,0,1.259,1.259,1.517,1.517,62,199,9,36,1025,0,0,23,0,26,49,26,12,100
1974JP21,-96.44225,34.4262,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0.27,242,0,2.724,2.724,4.374,4.374,208,246,16,52,1024,13,0,54,13,28,48,23,17,100
1974JP22,-96.41936,34.32896,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0.461,253,0,4.095,4.095,6.24,6.24,109,222,10,44,1036,23,17,41,40,23,44,33,14,87
1974JP23,-96.44302,34.5455,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,2,0.603,243,0,2.833,6.116,6.552,10.487,109,219,15,22,1013,2,10,10,12,26,49,25,15,59
1974JP24,-96.49464,34.57137,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0.348,228,0,3.579,3.579,5.783,5.783,137,262,18,62,1011,4,26,51,30,27,48,24,16,77
1974JP25,-96.54231,34.69466,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,2,0.321,227,0,0.765,2.904,1.704,4.119,30,230,9,23,1001,0,0,100,0,24,48,29,12,0
1974JP26,-96.35905,34.81064,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0.746,264,0,4.37,7.302,10.505,14.146,114,237,20,20,1030,18,64,11,82,22,38,40,18,0
1974JP27,-96.19662,34.81658,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0.405,282,0,3.048,3.048,4.397,4.397,180,258,21,39,1060,5,12,73,18,22,38,41,17,0
1974JP28,-96.26391,34.74194,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,3,3.565,277,0,1.231,42.509,7.261,116.622,129,227,53,6,1043,0,12,71,12,20,38,43,16,0
1974JP29,-96.20872,34.62922,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,4,7.679,285,0,8.816,98.028,63.94,338.72,58,200,11,7,1052,0,0,25,0,25,48,26,13,0
1974JP30,-96.39483,34.61094,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,2,1.417,255,0,2.044,13.8,7.297,27.81,96,212,12,13,1021,0,0,21,0,26,49,26,14,0
1974JP31,-96.35316,34.50544,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,3,7.334,265,0,6.843,96.862,49.151,300.626,68,195,14,10,1030,0,0,46,0,25,48,26,13,95
1974JP32,-96.31983,34.37022,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,4,10.782,270,0,5.877,147.515,45.055,521.461,49,180,7,5,1039,32,18,31,50,25,48,27,14,100
1974JP33,-95.88593,34.10006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21.41,299,19,16.631,324.471,170.329,1663.609,107,157,11,9,1107,61,1,13,62,27,45,27,18,5
